name;description;created_at;updated_at;deleted_at
GRUPO VERDE 2 ENERGETICA      ;      ;25/1/24 19:47;        ;        
GRUPO VERDE FERTILIZANTES     ;      ;25/1/24 19:47;        ;        
GRUPO VERKO                   ;      ;25/1/24 19:47;        ;        
GRUPO VETORIAL MINERACAO      ;      ;25/1/24 19:47;        ;        
GRUPO VETORIAL SIDERURGIA     ;      ;25/1/24 19:47;        ;        
GRUPO VICTRANS LTDA           ;      ;25/1/24 19:47;        ;        
GRUPO VIDRACARIA URANOS       ;      ;25/1/24 19:47;        ;        
GRUPO VIENA SIDERURGICA       ;      ;25/1/24 19:47;        ;        
GRUPO VIGOR ALIMENTOS         ;      ;25/1/24 19:47;        ;        
GRUPO VILASA CONSTRUTORA      ;      ;25/1/24 19:47;        ;        
GRUPO VIRC TRANSPORTES        ;      ;25/1/24 19:47;        ;        
GRUPO VIRLAINE CORREA DA SILVA;      ;25/1/24 19:47;        ;        
GRUPO VITRAN TRANSPORTES      ;      ;25/1/24 19:47;        ;        
GRUPO VIZELPAS                ;      ;25/1/24 19:47;        ;        
GRUPO VLADENISE SOUSA         ;      ;25/1/24 19:47;        ;        
GRUPO VOTORANTIM              ;      ;25/1/24 19:47;        ;        
GRUPO WANDERLY FLAVIO MORAIS  ;      ;25/1/24 19:47;        ;        
GRUPO WEG EQUIPAMENTOS        ;      ;25/1/24 19:47;        ;        
GRUPO WESTROCK                ;      ;25/1/24 19:47;        ;        
GRUPO WILMAR MARQUES BESERRA  ;      ;25/1/24 19:47;        ;        
GRUPO WILSON DOS SANTOS DE MAC;      ;25/1/24 19:47;        ;        
GRUPO WINLOGIS GESTAO LOGISTIC;      ;25/1/24 19:47;        ;        
GRUPO WJA SERVICOS            ;      ;25/1/24 19:47;        ;        
GRUPO YARA BRASIL FERTILIZANTE;      ;25/1/24 19:47;        ;        
GRUPO YPE                     ;      ;25/1/24 19:47;        ;        
GRUPO ZALIN EMPREENDIMENTOS IM;      ;25/1/24 19:47;        ;        
GRUPO ZIRANLOG TRANSPORTES    ;      ;25/1/24 19:47;        ;        
CLIENTES SPOT                 ;      ;25/1/24 19:47;        ;        
GRUPO CITROSUCO               ;      ;25/1/24 19:47;        ;        
GRUPO BRADO                   ;      ;25/1/24 19:47;        ;        
CLIENTES PATIOS               ;      ;25/1/24 19:47;        ;        
GRUPO CITROSUCO               ;      ;25/1/24 19:47;        ;        
GRUPO ADM                     ;      ;25/1/24 19:47;        ;        
GRUPO LORD                    ;      ;25/1/24 19:47;        ;        
GRUPO CONFAB                  ;      ;25/1/24 19:47;        ;        
GRUPO MOTECH                  ;      ;25/1/24 19:47;        ;        
GRUPO DMS                     ;      ;25/1/24 19:47;        ;        
GRUPO G2L                     ;      ;25/1/24 19:47;        ;        
GRUPO P M C                   ;      ;25/1/24 19:47;        ;        
GRUPO BENTONIT                ;      ;25/1/24 19:47;        ;        
GRUPO SARTORE REFEICOES       ;      ;25/1/24 19:47;        ;        
GRUPO VITRAN                  ;      ;25/1/24 19:47;        ;        
GRUPO AAS                     ;      ;25/1/24 19:47;        ;        
GRUPO AREMINAS                ;      ;25/1/24 19:47;        ;        
GRUPO AUTOLOG                 ;      ;25/1/24 19:47;        ;        
GRUPO BUZIN TRANSPORTES E COME;      ;25/1/24 19:47;        ;        
GRUPO COTRACARGEM             ;      ;25/1/24 19:47;        ;        
GRUPO MUNARIM                 ;      ;25/1/24 19:47;        ;        
